dead_url,domain,category,file_count,files
https://abcnews.com/538/pro-israel-groups-spent-big-oust-squad-members/story,abcnews.com,DEAD,1,Stories/Published/Contradiction Deep Dives/Contradiction 12 - AIPAC Buys Progressive Cover for Bipartisan Israel Policy.md
https://abcnews.com/Politics/alex-acosta-former-us-attorney-negotiated-epsteins-plea/story,abcnews.com,DEAD,1,Politicians/Republicans/Trump Cabinet/Alexander Acosta/_Alexander Acosta Master Profile.md
https://abcnews.com/Politics/booker-returns-pharma-executives-money-claimed-accepted/story,abcnews.com,DEAD,1,Politicians/Democrats/Senate/Cory Booker/_Cory Booker Master Profile.md
https://abcnews.com/Politics/hegseth-earned-46m-salary-fox-news-host-past/story,abcnews.com,DEAD,1,Politicians/Republicans/Trump Cabinet/Pete Hegseth/Fox News to Pentagon - The Media-Military Pipeline.md
https://abcnews.com/Politics/marco-rubio-unanimously-confirmed-secretary-state-becoming-member/story,abcnews.com,DEAD,1,Politicians/Republicans/Trump Cabinet/Marco Rubio/_Marco Rubio Master Profile.md
https://abcnews.com/Politics/messages-yemen-war-plans-inadvertently-shared-reporter-timeline/story,abcnews.com,DEAD,1,Politicians/Republicans/Presidential/Donald Trump/Surveillance/Signalgate - The Yemen Strike Chat and the Security Theater.md
https://abcnews.com/Politics/mike-waltz-national-security-adviser-added-journalist-signal/story,abcnews.com,DEAD,1,Politicians/Republicans/Trump Cabinet/Michael Waltz/_Michael Waltz Master Profile.md
https://abcnews.com/Politics/rep-nancy-mace-position-lgbtq-community-appears-changed/story,abcnews.com,DEAD,1,Politicians/Republicans/House/Nancy Mace.md
https://abcnews.com/Politics/tulsi-gabbard-income-disclosure-wealth/story,abcnews.com,DEAD,1,Media & Influence Pipeline/The Revolving Door (Media) — Government-to-Media Personnel Pipeline.md
https://abcnews.com/Politics/white-house-faces-questions-uae-royals-investment-trump/story,abcnews.com,DEAD,1,Donors & Power Networks/Tech & Crypto/World Liberty Financial.md
https://abcnews.com/US/gabbards-views-russia-shaped-part-kremlin-propaganda-outlet/story,abcnews.com,DEAD,2,Politicians/Republicans/Trump Cabinet/Tulsi Gabbard/The Anti-Establishment Brand and the Foreign Influence Questions.md | Politicians/Republicans/Trump Cabinet/Tulsi Gabbard/_Tulsi Gabbard Master Profile.md
https://abcnews.com/US/linkedin-founder-reid-hoffmans-ties-jeffrey-epstein-face/story,abcnews.com,DEAD,1,Donors & Power Networks/Mega-Donors/Reid Hoffman.md
https://abcnews.com/US/lobbying-firm-close-ties-trump-poised-profit-new/story,abcnews.com,DEAD,1,Lobbying Firms & K Street/Ballard Partners.md
https://abcnews.com/US/trump-retweets-alt-activist-pushed-pizzagate-conspiracy/story,abcnews.com,DEAD,1,Media & Influence Pipeline/Right/Jack Posobiec.md
https://abcnews.com/US/trump-tapped-unprecedented-13-billionaires-top-administration-roles/story,abcnews.com,DEAD,1,Politicians/Republicans/Presidential/Donald Trump/Governance/The Billionaire Cabinet - Wealthiest Administration in History.md
https://abcnews.go.com/Politics/bloomberg-2020-campaign-spending/story,abcnews.go.com,DEAD,1,Donors & Power Networks/Mega-Donors/Michael Bloomberg.md
https://www.aclu.org/news/health-care-advocacy/,aclu.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Healthcare/COVID No-Bid Contracts - Blue Shield and UnitedHealth.md
https://www.aclu.org/news/immigrants-rights/california-sanctuary-county-compliance-2024/,aclu.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Immigration/Sanctuary State - SB 54 and What It Actually Does.md
https://www.aclu.org/press-releases/aclu-georgia-kemp-used-absentee-ballot-and-drop-box-in-november-then-signed-voter,aclu.org,DEAD,1,Politicians/Republicans/Governors/Brian Kemp.md
https://www.acluca.org/the-california-values-act-what-you-need-to-know/,acluca.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Immigration/Sanctuary State - SB 54 and What It Actually Does.md
https://www.aclunc.org/our-work/legal-docket/care-court,aclunc.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Healthcare/Mental Health CARE Court and Forced Treatment.md
https://www.aclusocal.org/en/campaigns/end-ice-detention-california,aclusocal.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Immigration/Private Detention - AB 32.md
https://act.rootsaction.org/p/dia/action/public/,act.rootsaction.org,CONNECTION_ERROR,1,Politicians/Democrats/Senate/Dianne Feinstein.md
https://www.adl.org/resources/blog/rumble-emerges-platform-choice-antisemitic-and-far-right-extremist-content,adl.org,DEAD,1,Media & Influence Pipeline/Right/Rumble.md
https://www.adn.com/politics/2025/11/14/oil-industry-keeps-funding-republicans-despite-climate-crisis/,adn.com,DEAD,1,Stories/Published/2026 Senate Races/Alaska 2026 Senate Race.md
https://www.aflcio.org/news/ohio-afl-cio-endorses-amy-acton-governor,aflcio.org,DEAD,1,Politicians/Democrats/Governors/Amy Acton/The Labor Coalition and What Unions Expect.md
https://www.afpm.org/newsroom/news/afpm-statement-president-trumps-executive-orders-unleashing-american-energy,afpm.org,DEAD,1,Donors & Power Networks/Energy & Utilities/American Fuel and Petrochemical Manufacturers.md
https://www.alaskapublic.org/2026/03/alaska-native-voting-power-2026,alaskapublic.org,DEAD,1,Stories/Published/2026 Senate Races/Alaska 2026 Senate Race.md
https://www.americanbanker.com/maxine-waters-financial-services/,americanbanker.com,DEAD,1,Politicians/Democrats/House/Maxine Waters/The Financial Services Committee and Wall Street Oversight.md
https://www.americanfriendsoflikud.org,americanfriendsoflikud.org,CONNECTION_ERROR,1,Politicians/International/Benjamin Netanyahu/The American Donor Network.md
https://www.americanimmigrationcouncil.org/research/h-1b-visa-program-overview,americanimmigrationcouncil.org,DEAD,1,Donors & Power Networks/Tech & Crypto/Silicon Valley Democratic Donor Network.md
https://americanoversight.org/investigation/the-constitutional-sheriffs-movement-and-its-threat-democracy/,americanoversight.org,DEAD,1,Politicians/Races/CA Governor 2026/Chad Bianco/Far-Right Affiliations/CSPOA - The Anti-Government Sheriff Network.md
https://www.americanprogress.org/article/sb54-compliance-california/,americanprogress.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Immigration/Sanctuary State - SB 54 and What It Actually Does.md
https://americansfortaxfairness.org/issue/carried-interest/,americansfortaxfairness.org,DEAD,2,Donors & Power Networks/Wall Street/Blackstone Group.md | Donors & Power Networks/Wall Street/Private Equity Industry Bloc.md
https://americansfortaxfairness.org/tax-fairness-briefing-booklet/fact-sheet-koch-brothers-exposed-billionaires-fuel-extreme-right/,americansfortaxfairness.org,DEAD,1,Donors & Power Networks/Mega-Donors/Koch Network - Charles Koch.md
https://www.amyacton.com/healthcare-plan,amyacton.com,DEAD,1,Politicians/Democrats/Governors/Amy Acton/The Healthcare Platform and the Insurance Industry Question.md
https://www.auditor.ca.gov/reports/2020-128/index.html,auditor.ca.gov,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Criminal Justice/San Quentin - COVID Disaster and Rehabilitation Theater.md
https://bettergov.org/illinois-igaming,bettergov.org,DEAD,1,Stories/Published/Investigations/Sports Gambling Industry State Capture.md
https://www.biologicaldiversity.org/programs/energy-justice/california/,biologicaldiversity.org,DEAD,1,Politicians/Democrats/Governors/Gavin Newsom/Environment/Fracking and Oil Permits - Green Branding vs. Record.md
https://www.bostonglobe.com/metro/2018/10/23/lawmakers-are-calling-for-halt-saudi-arms-sales-that-could-mean-big-hit-for-raytheon/,bostonglobe.com,DEAD,1,Politicians/Democrats/House/Jim McGovern/_Jim McGovern Master Profile.md
https://www.brookings.edu/articles/alec-model-bills-are-more-likely-to-become-law-heres-why/,brookings.edu,DEAD,1,Donors & Power Networks/Mega-Donors/Koch Network - Charles Koch.md
https://www.brookings.edu/articles/opportunity-zones-what-we-know-and-what-we-dont/,brookings.edu,DEAD,1,Donors & Power Networks/Real Estate/Real Estate Roundtable.md
